"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33953","Product search test @master @regression","chromium","2026-07-05","broken","2026-07-05","","SearchProduct.spec.ts","",""
"","33992","Add product to cart test @master @regression","chromium","2026-07-05","broken","2026-07-05","","AddToCart.spec.ts","",""
"","9581","User registration test","chromium","2026-07-03","passed","2026-07-03","","AccountRegistration.spec.ts","",""
"","30312","Login Test with JSON Data: Valid login @datadriven","chromium","2026-07-03","passed","2026-07-03","","LoginDataDriven.spec.ts","",""
"","2741","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-07-03","passed","2026-07-03","","LoginDataDriven.spec.ts","",""
"","4941","Login Test with JSON Data: Valid login @datadriven","chromium","2026-07-03","failed","2026-07-03","","LoginDataDriven.spec.ts","",""
"","22106","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-07-03","failed","2026-07-03","","LoginDataDriven.spec.ts","",""
"","33974","User logout test @master @regression","chromium","2026-07-05","broken","2026-07-05","","Logout.spec.ts","",""
"","4826","Login Test with CSV Data: Valid login @datadriven","chromium","2026-07-03","failed","2026-07-03","","LoginDataDriven.spec.ts","",""
"","1675","execute end-to-end test flow @end-to-end","chromium","2026-07-05","failed","2026-07-05","","EndToEndTest.spec.ts","",""
"","8194","Login with valid credentials @master @sanity @regression","chromium","2026-07-05","passed","2026-07-05","","login.spec.ts","",""
"","6792","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-07-03","passed","2026-07-03","","LoginDataDriven.spec.ts","",""
